pool	 sample
29	 284
29	 290
29	 299
29	 312
29	 317
29	 324
29	 329
29	 342
29	 351
29	 357
29	 368
29	 371
29	 378
30	 6
30	 15
30	 20
30	 25
30	 35
30	 42
30	 53
30	 64
30	 65
30	 76
30	 87
30	 94
30	 104
30	 109
30	 114
30	 123
30	 133
30	 144
30	 147
30	 154
30	 164
30	 169
30	 182
30	 191
30	 194
30	 203
30	 216
30	 221
30	 231
30	 238
30	 241
30	 252
30	 264
30	 269
30	 274
30	 283
30	 289
30	 300
30	 311
30	 318
30	 323
30	 330
30	 341
30	 352
30	 358
30	 367
30	 372
30	 377
31	 7
31	 14
31	 17
31	 28
31	 34
31	 43
31	 56
31	 61
31	 68
31	 73
31	 86
31	 95
31	 101
31	 112
31	 115
31	 122
31	 136
31	 141
31	 146
31	 155
31	 161
31	 172
31	 183
31	 190
31	 195
31	 202
31	 213
31	 224
31	 230
31	 239
31	 244
31	 249
31	 261
31	 272
31	 275
31	 282
31	 292
31	 297
31	 310
31	 319
31	 322
31	 331
31	 344
31	 349
31	 359
31	 366
31	 369
31	 380
32	 8
32	 13
32	 18
32	 27
32	 33
32	 44
32	 55
32	 62
32	 67
32	 74
32	 85
32	 96
32	 102
32	 111
32	 116
32	 121
32	 135
32	 142
32	 145
32	 156
32	 162
32	 171
32	 184
32	 189
32	 196
32	 201
32	 214
32	 223
32	 229
32	 240
32	 243
32	 250
32	 262
32	 271
32	 276
32	 281
32	 291
32	 298
32	 309
32	 320
32	 321
32	 332
32	 343
32	 350
32	 360
32	 365
32	 370
32	 379
33	 1
33	 13
33	 20
33	 32
33	 39
33	 43
33	 54
33	 58
33	 71
33	 75
33	 86
33	 90
33	 97
33	 109
33	 116
33	 128
33	 136
33	 140
33	 149
33	 153
33	 162
33	 174
33	 179
33	 191
33	 194
33	 206
33	 211
33	 223
33	 232
33	 236
33	 245
33	 249
33	 262
33	 266
33	 279
33	 283
33	 292
33	 304
33	 305
33	 317
33	 324
33	 336
33	 337
33	 349
33	 358
33	 362
33	 375
33	 379
34	 2
34	 14
34	 19
34	 31
34	 40
34	 44
34	 53
34	 57
34	 72
34	 76
34	 85
34	 89
34	 98
34	 110
34	 115
34	 127
34	 135
34	 139
34	 150
34	 154
34	 161
